ENTRY	SHORT DEF	LONGER DEF	FIRST OCCURRENCE	NUM OCCURRENCES	POS
"calidus or caldus –a –um"	"calidus or caldus –a –um"	"warm, hot"	"warm, hot; fiery, lusty; eager, rash, on the spot; having a warm climate/place"	"382"	"4"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#calidus"	"1303"
"caligo –inis f."	"cālīgō –inis f."	"mist"	"mist, fog; misty, obscurity; darkness, dimness, obscurity; smoke; cloud of dust; blinding dust"	" 308"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#caligo"	"2718"
"callidus –a –um"	"callidus –a –um"	"clever"	"clever, skillful"	"605"	"2"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#callidus"	"2603"
"calor –oris m."	"calor –ōris m."	"warmth"	"warmth, heat, vital heat (> caleo)"	"842"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#calor"	"1351"
"candor –oris m."	"candor –ōris m."	"shining"	"shining, brilliant whiteness; whiteness (> candeo)"	"733"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#candor"	"3913"
"capella capellae f."	"capella capellae f."	"she–goat"	"she–goat"	"888"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#capella"	"2938"
"capillus capilli m."	"capillus capillī m."	"hair"	"hair"	" 87"	"3"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#capillus"	"1147"
"carina –ae f."	"carīna –ae f."	"keel; ship"	"keel; ship"	" 169"	"7"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#carina"	"1719"
"carpo carpere carpsi carptum"	"carpō carpere carpsī carptum"	"to pluck, seize; criticize"	"to pluck, seize; criticize, carp at"	"371"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#carpo"	"1147"
"cassis –idis f."	"cassis –idis f."	"a metal helmet"	"a metal helmet"	"228"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#cassis"	"7186"
"caterva –ae f."	"caterva –ae f."	"band (esp. of soldiers); a crowd"	"band, company (esp. of soldiers); a crowd, throng"	"341"	"7"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#caterva"	"1892"
"cavus –a –um"	"cavus –a –um"	"hollow"	"hollow"	" 870"	"2"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#cavus"	"1289"
"cerebrum –i n."	"cerebrum –ī n."	"the brain"	"the brain"	"452"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#cerebrum"	"3297"
"certamen certaminis n."	"certāmen certāminis n."	"contest, struggle"	"contest, competition; battle, combat, struggle; rivalry; (matter in) dispute"	"262"	"9"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#certamen"	"865"
"cervix cervicis f."	"cervīx cervīcis f."	"neck"	"neck, nape; severed head/neck"	" 480"	"4"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#cervix"	"1221"
"cesso cessare cessavi cessatus"	"cessō cessāre cessāvī cessātus"	"to cease"	"to cease, be idle; hold back, lay off, delay; rest; be free of"	"39"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#cesso"	"1719"
"chorda or corda –ae f."	"chorda or corda –ae f."	"a string, rope"	"catgut, a string, rope"	"882"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#chorda"	"4702"
"chorus –i m."	"chorus –ī m."	"dance in circle; dance; company of singers or dancers"	"a dance in a circle; a dance; a company of singers or dancers, choir, train; band, troop; festival"	"881"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#chorus"	"2249"
"circum"	"circum"	"around"	"about, around; round about, near; in a circle; in attendance; on both sides"	" 496"	"5"	"Preposition"	"Logeion"	"http://logeion.uchicago.edu/index.html#circum"	"408"
"cithara –ae f."	"cithara –ae f."	"the cithara"	"the cithara, cithern, or lute"	" 586"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#cithara"	"2938"
"clades cladis f."	"clādēs clādis f."	"destruction"	"disaster, destruction"	"315"	"3"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#clades"	"1745"
"clipeus –i m. or clipeum –i n."	"clipeus –ī m. or clipeum –ī n."	"round shield"	"round shield"	"230"	"12"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#clipeus"	"1330"
"coeo coire coivo/coii coitus"	"coeō coīre coīvō/coiī coitus"	"to come together"	"to fit together; have sexual intercourse; collect, gather; meet; rally; enter agreement; unite, assemble, conspire; come/go together; mend, knit (wound)"	" 457"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#coeo"	"1798"
"coerceo coercere coercui coercitus"	"coerceō coercēre coercuī coercitus"	"to enclose, control"	"to enclose, confine; restrain, check, curb, repress; limit; preserve; punish; keep in order, control"	" 561"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#coerceo"	"2065"
"coitus coitus m."	"coitus coitūs m."	"meeting together; sexual union"	"meeting, encounter, gathering; conjunction; meeting place, coalescence, union, sexual intercourse; fertilization; gathering, collection"	" 50"	"4"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#coitus"	"3127"
"colloquium colloquii n."	"colloquium colloquiī n."	"conversation"	"talk, conversation; discussion; interview; meeting, conference"	"564"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#colloquium"	"1613"
"columen –inis n."	"columen –inis n."	"roof, summit, peak; a key person, top man"	"roof, summit, peak; a key person, top man"	"529"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#columen"	"7186"
"comitatus –us m."	"comitātus –ūs m."	"an accompanying or following; a suite"	"an accompanying or following; a suite, train, retinue (> comitor)"	" 1014"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#comitatus"	"3634"
"comito comitare comitavi comitatus"	"comitō comitāre comitāvī comitātus"	"to accompany, follow"	"to accompany, follow"	"1036"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#comito"	"3767"
"comitor comitari comitatus sum"	"comitor comitārī comitātus sum"	"to accompany"	"to accompany"	" 191"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#comitor"	"1698"
"commentor –oris m."	"commentor –ōris m."	"an inventor"	"a deviser, discoverer"	"527"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#commentor"	"9174"
"comminus"	"comminus"	"hand to hand"	"hand to hand; immediately; near at hand. (> com– and manus)"	"444"	"6"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#comminus"	"2603"
"commoveo commovere commovi commotus"	"commoveō commovēre commōvī commōtus"	"to shake, move awa"	"to shake/stir up, agitate; displace, disturb, trouble/worry, upset; jolt; excite; waken; provoke; move (money/camp); produce; cause, start (war); raise (point)"	"372"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#commoveo"	"872"
"commuto commutare commutavi commutatus"	"commūtō commūtāre commūtāvī commūtātus"	"to change"	"to change, alter"	" 563"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#commuto"	"2938"
"como comere compsi comptus"	"cōmō comere cōmpsī cōmptus"	"to arrange, adorn"	"to arrange; adorn, make beautiful; embellish"	"845"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#como"	"4702"
"como –are –avi –atum"	"comō –āre –āvī –ātum"	"to be covered with hair or foliage"	"to be covered with hair or foliage"	"569"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#como"	"5645"
"compello compellare compellavi compellatus"	"compellō compellāre compellāvī compellātus"	"to address"	"to address, accost, speak to; greet, salute; chide, upbraid"	"31"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#compello"	"3211"
"compleo complere complevi completus"	"compleō complere complēvī complētus"	"to fill up"	"to fill (up/in); be big enough to fill; occupy space, crowd; furnish, supply, man; finish, complete, perfect; make pregnant; fulfill, make up, complete, satisfy"	"188"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#compleo"	"872"
