ENTRY	SHORT DEF	LONGER DEF	FIRST OCCURRENCE	NUM OCCURRENCES	POS
"lacrimo lacrimare lacrimavi lacrimatus"	"lacrimō lacrimāre lacrimāvī lacrimātus"	"to cry"	"to cry"	"843"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#lacrimo"	"2145"
"laetitia laetitiae f."	"laetitia laetitiae f."	"joy, happiness"	"joy, happiness"	" 838"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#laetitia"	"1613"
"laetor laetari laetatus sum"	"laetor laetārī laetātus sum"	"to rejoice, be glad"	"to be glad/joyful/delighted; rejoice; be fond (of), delight in; flourish (on/in)"	" 285"	"4"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#laetor"	"1719"
"laeva –ae f. (sc. manus)"	"laeva –ae f. (sc. manus)"	"the left hand"	"the left hand; ab laeva, on the left side"	"230"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#laeva"	"3211"
"lampas –adis f."	"lampas –adis f."	"light"	"a light, torch; firebrand"	" 130"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#lampas"	"3767"
"langueo –languere –langui —"	"langueō –languēre –languī —"	"to be faint, be weary"	"to be faint, be weary, be languid; be dull, sink"	" 507"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#langueo"	"2938"
"languesco –ere –langui"	"languēscō –ere –languī"	"to become faint"	"to become faint, grow weak, droop (> langueo)"	" 971"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#languesco"	"4087"
"lanio laniare laniavi laniatus"	"laniō laniāre laniāvī laniātus"	"to lacerate"	"to lacerate, mangle, mutilate"	"418"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#lanio"	"4475"
"lanx –lancis f."	"lanx –lancis f."	"broad dish or plate; charger"	"a broad dish or plate; a charger, platter; pl., lances, the basins of weighing scales; scales"	"656"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#lanx"	"3913"
"largus –a –um"	"largus –a –um"	"ample"	"ample; spacious, expansive; plentiful, copious, flowing; bountiful, free; w. gen., lavish"	" 108"	"3"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#largus"	"1798"
"latro latrare latravi latratus"	"lātrō lātrāre lātrāvī lātrātus"	"to bark"	"to bark, snarl, bay; of waves"	"4"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#latro"	"3297"
"laurus –i f."	"laurus –ī f."	"laurel"	"laurel"	" 1068"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#laurus"	"2022"
"lavo lavare lavi lotus"	"lavō lavāre lāvī lōtus"	"to wash"	"to wash, bathe; soak"	" 783"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#lavo"	"1698"
"laxo laxare laxavi laxatus"	"laxō laxāre laxāvī laxātus"	"to spread out"	"to spread out"	" 310"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#laxo"	"2654"
"leaena –ae f."	"leaena –ae f."	"lioness"	"lioness"	"396"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#leaena"	"6092"
"lenio lenire lenivi lenitus"	"lēniō lēnīre lēnīvī lēnītus"	"to alleviate"	"to mollify, alleviate"	"18"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#lenio"	"2859"
"lenis –e"	"lēnis –e"	"gentle, kind, mild"	"gentle, kind, mild"	"114"	"3"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#lenis"	"1596"
"leo leonis m."	"leō leōnis m."	"lion"	"lion"	" 442"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#leo"	"1038"
"letalis –e"	"lētālis –e"	"deadly, fatal"	"deadly, fatal, mortal; ominous of death (> letum)"	" 672"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#letalis"	"5645"
"letum leti n."	"lētum letī n."	"death"	"death"	"76"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#letum"	"1100"
"levo levare levavi levatus"	"levō levāre levāvī levātus"	"to raise; make light"	"to lift/raise/hold up; support; erect, set up; lift off, remove (load); comfort; undo, take off; release, rid; free from (worry/expense); refresh/restore; lighten, lessen, relieve; reduce in force/potency; bring down (cost/prices); alleviate"	"17"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#levo"	"1951"
"libens –entis"	"libēns –entis"	"willing"	"willing; well–pleased, ready, gladly, freely"	"166"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#libens"	"2780"
"libo libare libavi libatus"	"lībō libāre libāvī libātus"	"to pour, taste"	"to pour, taste"	" 608"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#libo"	"2326"
"libro librare libravi libratus"	"lībrō librāre librāvī librātus"	"to balance"	"to keep in balance, brandish"	" 380"	"4"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#libro"	"4087"
"liceo licere licui"	"liceō licēre licuī"	"to be for sale"	"to be for sale, be priced, be valued"	" 821"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#liceo"	"1077"
"linquo linquere liqui"	"linquō linquere līquī"	"to leave, relinquish"	"to leave, relinquish"	"79"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#linquo"	"1010"
"liquidus –a –um"	"liquidus –a –um"	"clear, liquid, melodious"	"clear, liquid, melodious"	" 863"	"3"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#liquidus"	"1289"
"liquor liquoris m."	"līquor līquōris m."	"a fluid, liquid"	"fluidity, a fluid, liquid"	"633"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#liquor"	"2938"
"lis litis f."	"līs lītis f."	"lawsuit; quarrel;"	"lawsuit; quarrel"	"106"	"3"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#lis"	"1631"
"lorica –ae f."	"lōrīca –ae f."	"leather corselet; corselet of any material; hauberk"	"a leather corselet; a corselet of any material; a hauberk, cuirass, coat of mail (> lorum)"	"293"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#lorica"	"2859"
"lorum lori n. or lorus –i m."	"lōrum lōrī n. or lorus –ī m."	"thong, strap"	"thong, strap, strip of leather; shoe strap; whip; dog leash; reins"	" 514"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#lorum"	"2938"
"luctor –ari"	"luctor –ārī"	"to wrestle, struggle, strive"	"to wrestle, struggle, strive"	" 1009"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#luctor"	"2938"
"luctus luctus m."	"lūctus lūctūs m."	"mourning, grief"	"mourning, grief"	" 45"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#luctus"	"1576"
"ludus ludi m."	"lūdus lūdī m."	"game"	"game, play, sport, pastime, entertainment, fun; school, elementary school"	"262"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#ludus"	"687"
"lugeo lugere luxi luctum"	"lūgeō lūgēre lūxī lūctum"	"to mourn, grieve"	"to mourn, grieve"	"71"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#lugeo"	"2326"
"luo luere lui"	"luō luere luī"	"to satisfy, pay for"	"to satisfy; suffer (punishment) for; pay for"	"38"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#luo"	"3025"
"lupus lupi m."	"lupus lupī m."	"wolf"	"wolf"	" 488"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#lupus"	"1631"
"lustro lustrare lustravi lustratus"	"lūstrō lūstrāre lūstrāvī lūstrātus"	"to purify by atonement; survey, review"	"to purify by atonement; go round the fields with the victims; hence to bless, ask for a blessing on; go or dance around an altar or the image of a god; traverse, pass across, around, or over; pass in review, parade before"	" 870"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#lustro"	"1576"
"luxuria luxuriae f."	"luxuria luxuriae f."	"luxury"	"luxury; extravagance; thriving condition"	"274"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#luxuria"	"2424"
"lyra –ae f."	"lyra –ae f."	"lyre"	"lyre"	"882"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#lyra"	"3501"
"madesco –ere –madui"	"madēscō –ere –maduī"	"to become wet; drip"	"to become wet; drip, be drenched (> madeo)"	" 482"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#madesco"	"8014"
"maereo –ere"	"maereō –ēre"	"to be sorrowful"	"to be sorrowful, sad; mourn, grieve (cf. miser)"	" 28"	"4"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#maereo"	"2249"
"maeror maeroris m."	"maeror maerōris m."	"mourning, grief"	"mourning, grief"	"17"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#maeror"	"2859"
"magnanimus –a –um"	"magnanimus –a –um"	"noble–spirited"	"noble–spirited, brave, bold"	" 242"	"2"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#magnanimus"	"3127"
"malum mali n."	"malum malī n."	"evil, calamity"	"evil, misfortune, calamity"	" 53"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#malum"	"623"
"mando mandare mandavi mandatus"	"mandō mandāre mandāvī mandātus"	"to entrust"	"to entrust, commit to one's charge, deliver over; commission; order, command"	"117"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#mando"	"1050"
"manes –ium m. pl"	"mānēs –ium m. pl"	"ghosts, departed spirits"	"ghosts, the Underworld"	" 994"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#manes"	"2938"
"mano manare manavi manatus"	"mānō mānāre mānāvī mānātus"	"to drip, flow"	"to drip, flow"	" 384"	"4"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#mano"	"2022"
"maternus –a –um"	"māternus –a –um"	"maternal"	"maternal"	" 192"	"3"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#maternus"	"2424"
"maturus –a –um"	"mātūrus –a –um"	"mature"	"early, speedy; ripe; mature, mellow; timely, seasonable"	"886"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#maturus"	"1927"
"melior melius"	"melior melius"	"better"	"better"	" 233"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#melior"	"1557"
"memor memoris"	"memor memoris"	"remembering"	"remembering; mindful (of, + gen.), grateful; unforgetting, commemorative"	" 301"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#memor"	"1312"
"memoro memorare memoravi memoratus"	"memorō memorāre memorāvī memorātus"	"to remember"	"to remember; be mindful of (+ gen./acc.); mention/recount/relate, remind/speak of"	" 637"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#memoro"	"1077"
"mendax –acis"	"mendāx –ācis"	"false, deceitful"	"given to lying; false, deceitful (> mentior)"	" 60"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#mendax"	"4087"
"mentior mentiri mentitus"	"mentior mentīrī mentītus"	"to lie"	"to invent, assert falsely, lie, cheat, deceive, pretend"	" 824"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#mentior"	"2189"
"mentum menti n."	"mentum mentī n."	"chin"	"chin"	"309"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#mentum"	"3501"
"meo meare "	"meō meāre "	"to go, pass"	"to go, pass"	" 869"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#meo"	"2718"
"mercor –atus sum"	"mercor –ātus sum"	"to exchange merchandise; traffic"	"to exchange merchandise; traffic, trade; buy, purchase (> merx, merchandise)"	" 981"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#mercor"	"4702"
"mergo –ere –mersi –mersus"	"mergō –ere –mersī –mersus"	"to dip"	"to dip, immerse, plunge, w. abl. alone, or w. prep.; cover; (fig.), involve, overwhelm"	" 778"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#mergo"	"2145"
"merum –i n."	"merum –ī n."	"wine; wine unmixed with water"	"wine; wine unmixed with water"	" 685"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#merum"	"2189"
"messor –oris m."	"messor –oris m."	"reaper, harvester"	"reaper, harvester"	"886"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#messor"	"6575"
"meta metae f."	"mēta mētae f."	"limit goal boundary turning point"	"limit, goal, boundary, turning point"	"1066"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#meta"	"3025"
"metior metiri mensus sum"	"mētior mētīrī mēnsus sum"	"to measure"	"to measure, estimate; distribute, mete; traverse, sail/walk through"	"886"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#metior"	"2938"
"meto metere messui messus"	"metō metere messuī messus"	"to harvest"	"to reap, mow, crop, gather, collect, harvest"	" 485"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#meto"	"3501"
"militia –ae f."	"mīlitia –ae f."	"military service"	"military service/organization; campaign; war; soldiers (collectively), army; military spirit; courage, bravery; the soldiery/military; any difficult work"	"76"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#militia"	"1631"
"mina –ae f."	"mina –ae f."	"a silver mina (unit of currency; Greek μνᾶ)"	"a silver mina (unit of currency; Greek μνᾶ)"	" 823"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#mina"	"9174"
"minae –arum f. pl."	"minae –ārum f. pl."	"battlements"	"battlements, threats"	"80"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#minae"	"2022"
"ministro ministrare ministravi ministratus"	"ministrō ministrāre ministrāvī ministrātus"	"to attend, serve"	"to attend (to), serve, furnish; supply"	" 395"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#ministro"	"2326"
"minor minari minatus sum"	"minor minārī minātus sum"	"to threaten"	"to threaten, speak/act menacingly; make threatening movement; give indication of"	"76"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#minor"	"1289"
"mire"	"mīrē"	"wonderfully"	"wonderfully, in a wonderful manner"	" 863"	"2"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#mīrē"	"742"
"miserabilis –e"	"miserābilis –e"	"deplorable, deserving to be pitied"	"that deserves to be pitied; pitiable, miserable, deplorable, wretched; (> adv.), miserabile, wretchedly, pitiably (> miseror)"	"20"	"3"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#miserabilis"	"2859"
"miserandus –a –um"	"miserandus –a –um"	"to be pitied"	"to be pitied; p., unhappy; wretched; deplorable, direful (> miseror)"	" 43"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#miserandus"	"4251"
"misereor –eri miseritus sum"	"misereor –ērī miseritus sum"	"to pity"	"to pity"	" 1032"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#misereor"	"2220"
"miseret miserere miseruit/miseritum est"	"miseret miserēre miseruit/miseritum est"	"to it moves to pity"	"to it moves (one) to pity"	"986"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#miseret"	"3913"
"miseror–ari –atus sum"	"miseror–ārī –ātus sum"	"to feel or show pity"	"to feel or show pity for; be compassionate, pity (> miser)"	" 1016"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#miseror–ari"	"2022"
"mitis mite"	"mītis mīte"	"mild; ripe"	"mild, gentle, ripe"	"145"	"3"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#mitis"	"1613"
"moderor moderari moderatus sum"	"moderor moderārī moderātus sum"	"to manage"	"to manage, direct, guide"	"1064"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#moderor"	"3025"
"modulor –ari –atus sum"	"modulor –ārī –ātus sum"	"to measure; regulate"	"to measure; regulate, tune, sing, play (> modulus)"	"883"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#modulor"	"5290"
"monitum –i n."	"monitum –ī n."	"an admonition; counsel; advice"	"an admonition; counsel; advice, warning; command; influence (> moneo)"	"400"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#monitum"	"4702"
"monstrum monstri n."	"mōnstrum mōnstrī n."	"omen; monster"	"omen, monster"	"875"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#monstrum"	"838"
"moribundus –a –um"	"moribundus –a –um"	"ready to die"	"in a dying condition; ready to die, dying; lifeless; mortal (> morior)"	"371"	"2"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#moribundus"	"3634"
"motus motus m."	"mōtus mōtūs m."	"motion, movement"	"motion, movement; disturbance"	"884"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#motus"	"965"
"mucro –onis m."	"mūcrō –ōnis m."	"sharp point or edge"	"a sharp point or edge, esp. of a weapon; point of a spear; a sword, blade"	" 231"	"7"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#mucro"	"2249"
"mugitus –us m."	"mūgītus –ūs m."	"lowing; bellowing"	"a lowing; bellowing (> mugio)"	" 299"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#mugitus"	"3501"
"mulceo –ere –mulsi –mulsus or mulctus"	"mulceō –ēre –mulsī –mulsus or mulctus"	"to stroke; lick"	"to stroke; lick; (fig.), soothe, caress, comfort; mitigate, soften, calm; to make harmonious, charm"	" 639"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#mulceo"	"2718"
"munero munerare or muneror munerari"	"mūnerō mūnerāre or mūneror mūnerārī"	"to give, bestow"	"to give, bestow, present "	" 628"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#munero"	"9174"
"munio munire munivi munitus"	"mūniō mūnīre mūnīvī mūnītus"	"to build, fortify"	"to fortify; strengthen; protect, defend, safeguard; build (road)"	" 178"	"4"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#munio"	"911"
"murmur murmuris n."	"murmur murmuris n."	"rumble, roar; murmur"	"rumble, roar; murmur"	"599"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#murmur"	"1927"
"mutuus –a –um"	"mūtuus –a –um"	"interchangeable,"	"interchangeable, reciprocal; on both sides; per mutua, mutually, to each other (> muto)"	"336"	"2"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#mutuus"	"1719"
"naris –is f."	"nāris –is f."	"nostril; pl."	"a nostril; pl., nares, ium, the nostrils; the nose"	" 451"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#naris"	"3297"
"nata –ae f."	"nāta –ae f."	"daughter"	"daughter"	"14"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#nata"	"2424"
"natus –a –um"	"nātus –a –um"	"born"	"born, sprung, descended; w. abl., natus dea, goddess–born (> nascor)"	"21"	"2"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#natus"	"3913"
"nebula –ae f."	"nebula –ae f."	"cloud"	"a cloud; mist, fog"	" 466"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#nebula"	"2424"
"neco necari necavi necatus"	"necō necārī necāvī necātus"	"to kill"	"to kill"	" 398"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#neco"	"958"
"necto nectere nexi nexum"	"nectō nectere nexī nexum"	"to tie, bind, connect, weave"	"to tie, bind, connect, weave"	"843"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#necto"	"2101"
"neglego neglegere neglexi neglectus"	"neglegō neglegere neglēxī neglēctus"	"to disregard, neglect"	"to disregard, neglect, ignore, regard of no consequence; do nothing about; despise"	"490"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#neglego"	"965"
"nequeo nequire nequii/nequivi nequitum"	"nequeō nequīre nequiī/nequīvī nequitum"	"to be unable"	"to be unable"	" 422"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#nequeo"	"1063"
"nequiquam"	"nēquīquam"	"in vain"	"in vain"	" 953"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#nequiquam"	"1251"
"ni"	"nī"	"if...not; unless"	"if ...  not; unless [quid ni? => why not?]"	" 75"	"3"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#ni"	"1673"
"nimium"	"nimium"	"excessively"	"excessively, inordinately"	" 1031"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#nimium"	"1503"
"niteo nitere nitui"	"niteō nitēre nituī"	"to shine"	"to shine, look bright, glitter, glisten"	" 231"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#niteo"	"2938"
"nitidus –a –um"	"nitidus –a –um"	"shining, bring"	"shining, bright, glittering (> niteo)"	"158"	"4"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#nitidus"	"2603"
"nobilitas nobilitatis f."	"nōbilitās nōbilitātis f."	"fame"	"nobility, fame"	" 264"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#nobilitas"	"1951"
"nodus –i m."	"nōdus –ī m."	"knot"	"a knot; of a tree; bond; coil; (fig.), difficult point; center of strife"	" 310"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#nodus"	"2101"
"novem; nonus –a –um"	"novem; nōnus –a –um"	"9, 9th"	"9, 9th"	"48"	"2"	"Number"	"Logeion"	"http://logeion.uchicago.edu/index.html#novem;"	"1303"
"nubes nubis f."	"nūbēs nūbis f."	"cloud"	"cloud"	"598"	"2"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#nubes"	"825"
"nudo nudare nudavi nudatus"	"nūdō nūdāre nūdāvī nūdātus"	"to bare, strip"	"to bare, uncover, strip"	"74"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#nudo"	"2065"
"nympha nymphae f."	"nympha nymphae f."	"bride; nymph"	"a bride, mistress, young woman; nymph, demi-goddess inhabiting water or other natural parts"	" 863"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#nympha"	"1115"
"o"	"ō"	"O"	"O"	"39"	"7"	"Interjection"	"Logeion"	"http://logeion.uchicago.edu/index.html#o"	"191"
"obex –icis m./f."	"ōbex –icis m./f."	"an obstacle; a barrier"	"an obstacle; a barrier; a bolt, bar (> ob and iacio)"	" 760"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#obex"	"6092"
"obiecto obiectare obiectavi obiectatus"	"obiectō obiectāre obiectāvī obiectātus"	"to throw towards"	"to throw towards, before, or against; to expose to (> obicio)"	" 930"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#obiecto"	"4957"
"obiicio obiicere obieci obiectus"	"obiiciō obiicere obiēcī obiectus"	"to throw in the way"	"to throw before/to, cast; object, oppose; upbraid; throw in one's teeth; present"	"681"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#obiicio"	"965"
"obliviscor oblivisci oblitus sum"	"oblīvīscor oblīvīscī oblītus sum"	"to forget"	"to forget (+ gen.)"	" 1023"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#obliviscor"	"1070"
"obruo obruere obrui obrutum"	"obruō obruere obruī obrutum"	"to cover"	"to cover, overwhelm"	" 914"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#obruo"	"1892"
"obsido –ere"	"obsīdō –ere"	"to set before"	"to set before, watch; block up, beset; invade, occupy"	"682"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#obsido"	"2371"
"obsisto obsistere obstiti —"	"obsistō obsistere obstitī —"	"to stand in the way"	"to set, place, or post one's self before; to take place before, stand in the way"	" 799"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#obsisto"	"3913"
"obtestor –atus sum"	"obtestor –ātus sum"	"to call to witness; conjure"	"to call to witness; conjure, implore; beseech; swear"	"723"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#obtestor"	"3501"
"obtrunco obtruncare obtruncavi obtruncatus"	"obtruncō obtruncāre obtruncāvī obtruncātus"	"to lop off; cut down; cut to pieces"	"to lop off; cut down; cut to pieces, slay"	" 674"	"3"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#obtrunco"	"4475"
"obvius obvia obvium"	"obvius obvia obvium"	"in the way"	"in the way, easy; hostile; exposed (to)"	" 426"	"2"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#obvius"	"1557"
"occido occidere occidi occasus"	"occidō occidere occidī occāsus"	"to go down; set; fall"	"to go down; set; fall, perish; die (> ob and cado)"	"360"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#occido"	"1859"
"occulto occultare occultavi occultatus"	"occultō occultāre occultāvī occultātus"	"to hide; conceal"	"to hide; conceal"	"708"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#occulto"	"2065"
"occumbo –ere –cubui –cubitus"	"occumbō –ere –cubuī –cubitus"	"to sink"	"to sink, fall upon; die; meet (> ob and cubo)"	" 775"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#occumbo"	"5290"
"ocrea –ae f."	"ocrea –ae f."	"greave; covering made of metal for the protection of the leg"	"a greave; a covering made of metal for the protection of the leg"	"232"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#ocrea"	"7186"
"offendo offendere offendi offensus"	"offendō offendere offendī offēnsus"	"to strike, knock against"	"to offend, give offense (to); displease/annoy/vex; trouble/upset, hurt (feelings); strike/knock against; bump into; stumble upon; spoil/harm; meet, find, encounter, be faced with; run aground; violate/wrong"	" 98"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#offendo"	"1289"
"omnipotens –entis"	"omnipotēns –entis"	"all–powerful"	"all–powerful, almighty; supreme, sovereign; subst., The Almighty (> omnis and potens)"	" 113"	"2"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#omnipotens"	"1951"
"onero onerare oneravi oneratus"	"onerō onerāre onerāvī onerātus"	"to load, burden"	"to load, burden; weigh down; shower with accusations"	" 183"	"4"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#onero"	"1771"
"opacus –a –um"	"opācus –a –um"	"shady, dark"	"shady; obscure, dark; subst., opaca, orum, n., partitive; opaca viarum, dark pathways, roads"	"723"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#opacus"	"2371"
"oppono opponere opposui oppositum"	"oppōnō oppōnere opposuī oppositum"	"to place opposite"	"to place opposite, oppose"	" 499"	"2"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#oppono"	"2145"
"opprimo opprimere oppressi oppressus"	"opprimō opprimere oppressī oppressus"	"to press on"	"to press on; close; overwhelm, oppress"	" 711"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#opprimo"	"803"
"optimus –a –um"	"optimus –a –um"	"best, excellent"	"best, excellent"	" 98"	"2"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#optimus"	"1542"
